"","lon","lat"
"3252",-76.6121893,39.2903848
"3253",NA,NA
"3254",153.0251235,-27.4697707
"3255",-91.5301683,41.6611277
"3256",-102.410767,34.233521
"3257",-79.9414266,37.2709704
"3258",-95.7243335,37.2321077
"3259",NA,NA
"3260",NA,NA
"3261",-117.3754942,33.9806005
"3262",12.4963655,41.9027835
"3263",25.7481511,61.92411
"3264",25.7481511,61.92411
"3265",-95.712891,37.09024
"3266",-3.435973,55.378051
"3267",-76.5410412,38.9411119
"3268",-84.309939,39.3600586
"3269",NA,NA
"3270",-85.6023643,44.3148443
"3271",NA,NA
"3272",NA,NA
"3273",3.9470396,7.3775355
"3274",144.9630576,-37.8136276
"3275",-2.7044052,53.7632254
"3276",-95.7243335,37.2321077
"3277",-104.3384616,19.1138094
"3278",19.5033041,47.162494
"3279",-3.74922,40.463667
"3280",-122.1430195,37.4418834
"3281",-99.6556653,19.2826098
"3282",-106.0691004,28.6329957
"3283",NA,NA
"3284",-99.133208,19.4326077
"3285",NA,NA
"3286",NA,NA
"3287",NA,NA
"3288",-93.470786,44.8546856
"3289",-75.8301537,20.01693
"3290",-91.1871466,30.4514677
"3291",-100.3161126,25.6866142
"3292",-106.4111425,23.2494148
"3293",-90.1994042,38.6270025
"3294",-110.9559192,29.0729673
"3295",-119.4179324,36.778261
"3296",-116.419389,34.9592083
"3297",-73.3467167,42.2024768
"3298",3.3792057,6.5243793
"3299",NA,NA
"3300",-103.9630735,18.9360313
"3301",-73.3467167,42.2024768
"3302",-115.2837585,30.8406338
"3303",NA,NA
"3304",NA,NA
"3305",-118.2436849,34.0522342
"3306",-99.598551,19.2528864
"3307",NA,NA
"3308",-95.712891,37.09024
"3309",NA,NA
"3310",-76.7074571,37.2707022
"3311",-76.7074571,37.2707022
"3312",-118.3812562,33.8798386
"3313",-95.712891,37.09024
"3314",NA,NA
"3315",-117.1661449,33.1433723
"3316",-93.2777226,44.7677424
"3317",NA,NA
"3318",NA,NA
"3319",NA,NA
"3320",-7.6920536,53.1423672
"3321",-73.3467167,42.2024768
"3322",-110.9342532,31.3403775
"3323",NA,NA
"3324",-119.4179324,36.778261
"3325",NA,NA
"3326",-118.2436849,34.0522342
"3327",-99.9018131,31.9685988
"3328",-102.552784,23.634501
"3329",-101.6859605,21.1250077
"3330",-86.675276,34.730137
"3331",-102.8687414,23.1777586
"3332",-118.1445155,34.1477849
"3333",-99.9018131,31.9685988
"3334",-75.1652215,39.9525839
"3335",-81.0348144,34.0007104
"3336",-95.712891,37.09024
"3337",NA,NA
"3338",-95.712891,37.09024
"3339",-118.2436849,34.0522342
"3340",NA,NA
"3341",NA,NA
"3342",-98.2062727,19.0414398
"3343",-73.3467167,42.2024768
"3344",-73.3467167,42.2024768
"3345",151.2092955,-33.8688197
"3346",NA,NA
"3347",NA,NA
"3348",-103.5988057,43.7666507
"3349",-103.5988057,43.7666507
"3350",-122.6587185,45.5122308
"3351",NA,NA
"3352",-77.0368707,38.9071923
"3353",-111.0937311,34.0489281
